,影片,年份,时长,评分,票房
111,Room,2015,118min,8.2,14.68
112,Django Unchained,2012,165min,8.4,162.8
113,Ah-ga-ssi,2016,144min,8.1,2.01
114,The Edge of Seventeen,2016,104min,7.4,14.26
115,Watchmen,2009,162min,7.6,107.5
116,Superbad,2007,113min,7.6,121.46
117,Inferno,2016,121min,6.2,34.26
118,The BFG,2016,117min,6.4,55.47
119,The Hunger Games,2012,142min,7.2,408.0
120,White Girl,2016,88min,5.8,0.2
121,Sicario,2015,121min,7.6,46.88
122,Twin Peaks: The Missing Pieces,2014,91min,8.1,
123,Aliens vs Predator - Requiem,2007,94min,4.7,41.8
124,Pacific Rim,2013,131min,7.0,101.79
125,"Crazy, Stupid, Love.",2011,118min,7.4,84.24
126,Scott Pilgrim vs. the World,2010,112min,7.5,31.49
127,Hot Fuzz,2007,121min,7.9,23.62
128,Mine,2016,106min,6.0,
129,Free Fire,2016,90min,7.0,1.8
130,X-Men: Days of Future Past,2014,132min,8.0,233.91
131,Jack Reacher: Never Go Back,2016,118min,6.1,58.4
132,Casino Royale,2006,144min,8.0,167.01
133,Twilight,2008,122min,5.2,191.45
134,Now You See Me 2,2016,129min,6.5,65.03
135,Woman in Gold,2015,109min,7.3,33.31
136,13 Hours,2016,144min,7.3,52.82
137,Spectre,2015,148min,6.8,200.07
138,Nightcrawler,2014,118min,7.9,32.28
139,Kubo and the Two Strings,2016,101min,7.9,48.02
140,Beyond the Gates,2016,84min,5.2,
141,Her,2013,126min,8.0,25.56
142,Frozen,2013,102min,7.5,400.74
143,Tomorrowland,2015,130min,6.5,93.42
144,Dawn of the Planet of the Apes,2014,130min,7.6,208.54
145,Tropic Thunder,2008,107min,7.0,110.42
146,The Conjuring 2,2016,134min,7.4,102.46
147,Ant-Man,2015,117min,7.3,180.19
148,Bridget Jones's Baby,2016,118min,6.7,24.09
149,The VVitch: A New-England Folktale,2015,92min,6.8,25.14
150,Cinderella,2015,105min,7.0,201.15
151,Realive,2016,112min,5.9,
152,Forushande,2016,124min,8.0,3.4
153,Love,2015,135min,6.0,
154,Billy Lynn's Long Halftime Walk,2016,113min,6.3,1.72
155,Crimson Peak,2015,119min,6.6,31.06
156,Drive,2011,100min,7.8,35.05
157,Trainwreck,2015,125min,6.3,110.01
158,The Light Between Oceans,2016,133min,7.2,12.53
159,Below Her Mouth,2016,94min,5.6,
160,Spotlight,2015,128min,8.1,44.99
161,Morgan,2016,92min,5.8,3.91
162,Warrior,2011,140min,8.2,13.65
163,Captain America: The First Avenger,2011,124min,6.9,176.64
164,Hacker,2016,95min,6.3,
165,Into the Wild,2007,148min,8.1,18.35
166,The Imitation Game,2014,114min,8.1,91.12
167,Central Intelligence,2016,107min,6.3,127.38
168,Edge of Tomorrow,2014,113min,7.9,100.19
169,A Cure for Wellness,2016,146min,6.5,8.1
170,Snowden,2016,134min,7.3,21.48
171,Iron Man,2008,126min,7.9,318.3
172,Allegiant,2016,120min,5.7,66.0
173,X: First Class,2011,132min,7.8,146.41
174,Raw (II),2016,99min,7.5,0.51
175,Paterson,2016,118min,7.5,2.14
176,Bridesmaids,2011,125min,6.8,169.08
177,The Girl with All the Gifts,2016,111min,6.7,
178,San Andreas,2015,114min,6.1,155.18
179,Spring Breakers,2012,94min,5.3,14.12
180,Transformers,2007,144min,7.1,318.76
181,Old Boy,2013,104min,5.8,
182,Thor: The Dark World,2013,112min,7.0,206.36
183,Gods of Egypt,2016,126min,5.5,31.14
184,Captain America: The Winter Soldier,2014,136min,7.8,259.75
185,Monster Trucks,2016,104min,5.7,33.04
186,A Dark Song,2016,100min,6.1,
187,Kick-Ass,2010,117min,7.7,48.04
188,Hardcore Henry,2015,96min,6.7,9.24
189,Cars,2006,117min,7.1,244.05
190,It Follows,2014,100min,6.9,14.67
191,The Girl with the Dragon Tattoo,2011,158min,7.8,102.52
192,We're the Millers,2013,110min,7.0,150.37
193,American Honey,2016,163min,7.0,0.66
194,The Lobster,2015,119min,7.1,8.7
195,Predators,2010,107min,6.4,52.0
196,Maleficent,2014,97min,7.0,241.41
197,Rupture,2016,102min,4.8,
198,Pan's Labyrinth,2006,118min,8.2,37.62
199,A Kind of Murder,2016,95min,5.2,0.0
200,Apocalypto,2006,139min,7.8,50.86
201,Mission: Impossible - Rogue Nation,2015,131min,7.4,195.0
202,The Huntsman: Winter's War,2016,114min,6.1,47.95
203,The Perks of Being a Wallflower,2012,102min,8.0,17.74
204,Jackie,2016,100min,6.8,13.96
205,The Disappointments Room,2016,85min,3.9,2.41
206,The Grand Budapest Hotel,2014,99min,8.1,59.07
207,The Host,2013,125min,5.9,26.62
208,Fury,2014,134min,7.6,85.71
209,Inside Out,2015,95min,8.2,356.45
210,Rock Dog,2016,90min,5.8,9.4
211,Terminator Genisys,2015,126min,6.5,89.73
212,Percy Jackson & the Olympians: The Lightning Thief,2010,118min,5.9,88.76
213,Les Misérables,2012,158min,7.6,148.78
214,Children of Men,2006,109min,7.9,35.29
215,20th Century Women,2016,119min,7.4,5.66
216,Spy,2015,119min,7.1,110.82
217,The Intouchables,2011,112min,8.6,13.18
218,Bonjour Anne,2016,92min,4.9,0.32
219,Kynodontas,2009,94min,7.3,0.11
220,Straight Outta Compton,2015,147min,7.9,161.03
221,The Amazing Spider-Man 2,2014,142min,6.7,202.85
222,The Conjuring,2013,112min,7.5,137.39
223,The Hangover,2009,100min,7.8,277.31
224,Battleship,?,131min,5.8,65.17
225,Rise of the Planet of the Apes,2011,105min,7.6,176.74
226,Lights Out,2016,81min,6.4,67.24
227,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,2016,118min,7.1,2.27
228,Birdman or (The Unexpected Virtue of Ignorance),2014,119min,7.8,42.34
229,Black Swan,2010,108min,8.0,106.95
230,Dear White People,2014,108min,6.2,4.4
231,Nymphomaniac: Vol. I,2013,117min,7.0,0.79
232,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,112min,6.0,0.54
233,Knock Knock,2015,99min,4.9,0.03
234,Dirty Grandpa,2016,102min,6.0,35.54
235,Cloud Atlas,2012,172min,7.5,27.1
236,X-Men Origins: Wolverine,2009,107min,6.7,179.88
237,Satanic,2016,85min,3.7,
238,Skyfall,2012,143min,7.8,304.36
239,The Hobbit: An Unexpected Journey,2012,169min,7.9,303.0
240,21 Jump Street,2012,110min,7.2,138.45
241,Sing Street,2016,106min,8.0,3.23
242,Ballerina,2016,89min,6.8,
243,Oblivion,2013,124min,7.0,89.02
244,22 Jump Street,2014,112min,7.1,191.62
245,Zodiac,2007,157min,7.7,33.05
246,Everybody Wants Some!!,2016,117min,7.0,3.37
247,Iron Man Three,2013,130min,7.2,408.99
248,Now You See Me,2013,115min,7.3,117.7
249,Sherlock Holmes,2009,128min,7.6,209.02
250,Death Proof,2007,113min,7.1,
251,The Danish Girl,2015,119min,7.0,12.71
252,Hercules,2014,98min,6.0,72.66
253,Sucker Punch,2011,110min,6.1,36.38
254,Keeping Up with the Joneses,2016,105min,5.8,14.9
255,Jupiter Ascending,2015,127min,5.3,47.38
256,Masterminds,2016,95min,5.8,17.36
257,Iris,2016,99min,6.1,
258,Busanhaeng,2016,118min,7.5,2.13
259,Pitch Perfect,2012,112min,7.2,65.0
260,Neighbors 2: Sorority Rising,2016,92min,5.7,55.29
261,The Exception,2016,107min,7.7,
262,Man of Steel,2013,143min,7.1,291.02
263,The Choice,2016,111min,6.6,18.71
264,Ice Age: Collision Course,2016,94min,5.7,64.06
265,The Devil Wears Prada,2006,109min,6.8,124.73
266,The Infiltrator,2016,127min,7.1,15.43
267,There Will Be Blood,2007,158min,8.1,40.22
268,The Equalizer,2014,132min,7.2,101.53
269,Lone Survivor,2013,121min,7.5,125.07
270,The Cabin in the Woods,2012,95min,7.0,42.04
271,The House Bunny,2008,97min,5.5,48.24
272,She's Out of My League,2010,104min,6.4,31.58
273,Inherent Vice,2014,148min,6.7,8.09
274,Alice Through the Looking Glass,2016,113min,6.2,77.04
275,Vincent N Roxxy,2016,110min,5.5,
276,The Fast and the Furious: Tokyo Drift,2006,104min,6.0,62.49
277,How to Be Single,?,110min,6.1,46.81
278,The Blind Side,2009,129min,7.7,255.95
279,La vie d'Adèle,2013,180min,7.8,2.2
280,The Babadook,2014,93min,6.8,0.92
281,The Hobbit: The Battle of the Five Armies,2014,144min,7.4,255.11
282,Harry Potter and the Order of the Phoenix,2007,138min,7.5,292.0
283,Snowpiercer,2013,126min,7.0,4.56
284,The 5th Wave,2016,112min,5.2,34.91
285,The Stakelander,2016,81min,5.3,
286,The Visit,2015,94min,6.2,65.07
287,Fast Five,2011,131min,7.3,209.81
288,Step Up,2006,104min,6.5,65.27
289,Lovesong,2016,84min,6.4,0.01
290,RocknRolla,2008,114min,7.3,5.69
291,In Time,2011,109min,6.7,37.55
292,The Social Network,2010,120min,7.7,96.92
293,The Last Witch Hunter,?,106min,6.0,27.36
294,Victor Frankenstein,2015,110min,6.0,5.77
295,A Street Cat Named Bob,2016,103min,7.4,0.04
296,Green Room,2015,95min,7.0,3.22
297,Blackhat,2015,133min,5.4,7.1
298,Storks,2016,87min,6.9,72.66
299,American Sniper,2014,133min,7.3,350.12
300,Dallas Buyers Club,2013,117min,8.0,27.3
301,Lincoln,2012,150min,7.4,182.2
302,Rush,2013,123min,8.1,26.9
303,Before I Wake,2016,97min,6.1,
304,Silver Linings Playbook,2012,122min,7.8,132.09
305,Tracktown,2016,88min,5.9,
306,The Fault in Our Stars,2014,126min,7.8,124.87
307,Blended,2014,117min,6.5,46.28
308,Fast & Furious,2009,107min,6.6,155.02
309,Looper,2012,119min,7.4,66.47
310,White House Down,2013,131min,6.4,73.1
311,Pete's Dragon,2016,102min,6.8,76.2
312,Spider-Man 3,2007,139min,6.2,336.53
313,The Three Musketeers,2011,110min,5.8,20.32
314,Stardust,2007,127min,7.7,38.35
315,American Hustle,2013,138min,7.3,150.12
316,Jennifer's Body,2009,102min,5.1,16.2
317,Midnight in Paris,2011,94min,7.7,56.82
318,Lady Macbeth,2016,89min,7.3,
319,Joy,2015,124min,6.6,56.44
320,The Dressmaker,2015,119min,7.1,2.02
321,Café Society,2016,96min,6.7,11.08
322,Insurgent,2015,119min,6.3,130.0
323,Seventh Son,2014,102min,5.5,17.18
324,Demain tout commence,2016,118min,7.4,
325,The Theory of Everything,2014,123min,7.7,35.89
326,This Is the End,2013,107min,6.6,101.47
327,About Time,2013,123min,7.8,15.29
328,Step Brothers,2008,98min,6.9,100.47
329,Clown,2014,100min,5.7,0.05
330,Star Trek Into Darkness,2013,132min,7.8,228.76
331,Zombieland,2009,88min,7.7,75.59
332,"Hail, Caesar!",2016,106min,6.3,30.0
333,Slumdog Millionaire,2008,120min,8.0,141.32
334,The Twilight Saga: Breaking Dawn - Part 2,2012,115min,5.5,292.3
335,American Wrestler: The Wizard,2016,117min,6.9,
336,The Amazing Spider-Man,2012,136min,7.0,262.03
337,Ben-Hur,2016,123min,5.7,26.38
338,Sleight,2016,89min,6.0,3.85
339,The Maze Runner,2014,113min,6.8,102.41
340,Criminal,2016,113min,6.3,14.27
341,Wanted,2008,110min,6.7,134.57
342,Florence Foster Jenkins,2016,111min,6.9,27.37
343,Collide,2016,99min,5.7,2.2
344,Black Mass,2015,123min,6.9,62.56
345,Creed,2015,133min,7.6,109.71
346,Swiss Army Man,2016,97min,7.1,4.21
347,The Expendables 3,2014,126min,6.1,39.29
348,What We Do in the Shadows,2014,86min,7.6,3.33
349,Southpaw,2015,124min,7.4,52.42
350,Hush,2016,81min,6.6,
351,Bridge of Spies,2015,142min,7.6,72.31
352,The Lego Movie,2014,100min,7.8,257.76
353,Everest,2015,121min,7.1,43.25
354,Pixels,2015,105min,5.6,78.75
355,Robin Hood,2010,140min,6.7,105.22
356,The Wolverine,2013,126min,6.7,132.55
357,John Carter,2012,132min,6.6,73.06
358,Keanu,2016,100min,6.3,20.57
359,The Gunman,2015,115min,5.8,10.64
360,Steve Jobs,2015,122min,7.2,17.75
361,Whisky Galore,2016,98min,5.0,
362,Grown Ups 2,2013,101min,5.4,133.67
363,The Age of Adaline,2015,112min,7.2,42.48
364,The Incredible Hulk,2008,112min,6.8,134.52
365,Couples Retreat,2009,113min,5.5,109.18
366,Absolutely Anything,2015,85min,6.0,
367,Magic Mike,2012,110min,6.1,113.71
368,Minions,2015,91min,6.4,336.03
369,The Black Room,2016,91min,3.9,
370,Bronson,2008,92min,7.1,0.1
371,Despicable Me,2010,95min,7.7,251.5
372,The Best of Me,2014,118min,6.7,26.76
373,The Invitation,2015,100min,6.7,0.23
374,Zero Dark Thirty,2012,157min,7.4,95.72
375,Tangled,2010,100min,7.8,200.81
376,The Hunger Games: Mockingjay - Part 2,2015,137min,6.6,281.67
377,Vacation,2015,99min,#,58.88
378,Taken,2008,93min,7.8,145.0
379,Pitch Perfect 2,2015,115min,6.5,183.44
380,Monsters University,2013,104min,7.3,268.49
381,Elle,2016,130min,7.2,
382,Mechanic: Resurrection,2016,98min,5.6,21.2
383,Tusk,2014,102min,#,1.82
384,The Headhunter's Calling,2016,108min,6.9,
385,Atonement,2007,123min,7.8,50.92
386,Harry Potter and the Deathly Hallows: Part 1,2010,146min,7.7,294.98
387,Shame,2011,101min,7.2,4.0
388,Hanna,2011,111min,6.8,40.25
389,The Babysitters,2007,88min,5.7,0.04
390,Pride and Prejudice and Zombies,2016,108min,5.8,10.91
391,300: Rise of an Empire,2014,102min,6.2,106.37
392,London Has Fallen,2016,99min,5.9,62.4
393,The Curious Case of Benjamin Button,2008,166min,7.8,127.49
394,Sin City: A Dame to Kill For,2014,102min,6.5,13.75
395,The Bourne Ultimatum,2007,115min,8.1,227.14
396,Srpski film,2010,104min,5.2,
397,The Purge: Election Year,2016,109min,6.0,79.0
398,3 Idiots,2009,170min,8.4,6.52
399,Zoolander 2,2016,102min,4.7,28.84
400,World War Z,2013,116min,7.0,202.35
401,Mission: Impossible - Ghost Protocol,2011,132min,7.4,209.36
402,Let Me Make You a Martyr,2016,102min,#,
403,Filth,2013,97min,7.1,0.03
404,The Longest Ride,2015,123min,7.1,37.43
405,The imposible,2012,114min,7.6,19.0
406,Kick-Ass 2,2013,103min,6.6,28.75
407,Folk Hero & Funny Guy,2016,88min,5.6,
408,Oz the Great and Powerful,2013,130min,6.3,234.9
409,Brooklyn,2015,117min,7.5,38.32
410,Coraline,2009,100min,7.7,75.28
411,Blue Valentine,2010,112min,7.4,9.7
412,The Thinning,2016,81min,6.0,
413,Silent Hill,2006,125min,6.6,46.98
414,Dredd,2012,95min,7.1,13.4
415,Hunt for the Wilderpeople,2016,101min,7.9,5.2
416,Big Hero 6,2014,102min,7.8,222.49
417,Carrie,2013,100min,5.9,35.27
418,Iron Man 2,2010,124min,7.0,312.06
419,Demolition,2015,101min,7.0,1.82
420,Pandorum,2009,108min,6.8,10.33
421,Olympus Has Fallen,2013,119min,6.5,98.9
422,I Am Number Four,2011,109min,6.1,55.09
423,Jagten,2012,115min,8.3,0.61
424,The Proposal,2009,108min,6.7,163.95
425,Get Hard,2015,100min,6.0,90.35
426,Just Go with It,2011,117min,6.4,103.03
427,Revolutionary Road,2008,119min,7.3,22.88
428,The Town,2010,125min,7.6,92.17
429,The Boy,2016,97min,6.0,35.79
430,Denial,2016,109min,6.6,4.07
431,Predestination,2014,97min,7.5,
432,Goosebumps,2015,103min,6.3,80.02
433,Sherlock Holmes: A Game of Shadows,2011,129min,7.5,186.83
434,Salt,2010,100min,6.4,118.31
435,Enemy,2013,91min,6.9,1.01
436,District 9,2009,112min,8.0,115.65
437,The Other Guys,2010,107min,6.7,119.22
438,American Gangster,2007,157min,7.8,130.13
439,Marie Antoinette,2006,123min,6.4,15.96
440,2012,2009,158min,5.8,166.11
441,Harry Potter and the Half-Blood Prince,2009,153min,7.5,301.96
442,Argo,2012,120min,7.7,136.02
443,Eddie the Eagle,2016,106min,7.4,15.79
444,The Lives of Others,2006,137min,8.5,11.28
445,Pet,2016,94min,5.7,
446,Paint It Black,2016,96min,8.3,
447,Macbeth,2015,113min,6.7,
448,Forgetting Sarah Marshall,2008,111min,7.2,62.88
449,The Giver,2014,97min,6.5,45.09
450,Triple 9,2016,115min,6.3,12.63
451,Perfetti sconosciuti,2016,97min,7.7,
452,Angry Birds,2016,97min,6.3,107.51
453,Moonrise Kingdom,2012,94min,7.8,45.51
454,Hairspray,2007,117min,6.7,118.82
455,Safe Haven,2013,115min,6.7,71.35
456,Focus,2015,105min,6.6,53.85
457,Ratatouille,2007,111min,8.0,206.44
458,Stake Land,2010,98min,6.5,0.02
459,The Book of Eli,2010,118min,6.9,94.82
460,Cloverfield,2008,85min,7.0,80.03
461,Point Break,2015,114min,5.3,28.77
462,Under the Skin,2013,108min,6.3,2.61
463,I Am Legend,2007,101min,7.2,256.39
464,Men in Black 3,2012,106min,6.8,179.02
465,Super 8,2011,112min,7.1,126.98
466,Law Abiding Citizen,2009,109min,7.4,73.34
467,Up,2009,96min,8.3,292.98
468,Maze Runner: The Scorch Trials,2015,131min,6.3,81.69
469,Carol,2015,118min,7.2,0.25
470,Imperium,2016,109min,6.5,
471,Youth,2015,124min,7.3,2.7
472,Mr. Nobody,2009,141min,7.9,
473,City of Tiny Lights,2016,110min,5.7,
474,Savages,2012,131min,6.5,47.31
475,(500) Days of Summer,2009,95min,7.7,32.39
476,Movie 43,2013,94min,4.3,8.83
477,Gravity,2013,91min,7.8,274.08
478,The Boy in the Striped Pyjamas,2008,94min,7.8,9.03
479,Shooter,2007,124min,7.2,46.98
480,The Happening,2008,91min,5.0,64.51
481,Bone Tomahawk,2015,132min,7.1,66.01
482,Magic Mike XXL,2015,115min,5.7,
483,Easy A,2010,92min,7.1,58.4
484,Exodus: Gods and Kings,2014,150min,6.0,65.01
485,Chappie,2015,120min,6.9,31.57
486,The Hobbit: The Desolation of Smaug,2013,161min,7.9,258.36
487,Half of a Yellow Sun,2013,111min,6.2,0.05
488,Anthropoid,2016,120min,7.2,2.96
489,The Counselor,2013,117min,5.3,16.97
490,Viking,2016,133min,4.7,23.05
491,Whiskey Tango Foxtrot,2016,112min,6.6,
492,Trust,2010,106min,7.0,0.06
493,Birth of the Dragon,2016,103min,3.9,93.05
494,Elysium,2013,109min,6.6,
495,The Green Inferno,2013,100min,5.4,7.19
496,Godzilla,2014,123min,6.4,200.66
497,The Bourne Legacy,2012,135min,6.7,113.17
498,A Good Year,2006,117min,6.9,7.46
499,Friend Request,2016,92min,5.4,64.03
500,Deja Vu,2006,126min,7.0,
501,Lucy,2014,89min,6.4,126.55
502,A Quiet Passion,2016,125min,7.2,1.08
503,Need for Speed,2014,132min,6.5,43.57
504,Jack Reacher,2012,130min,7.0,58.68
505,The Do-Over,2016,108min,5.7,0.54
506,True Crimes,2016,92min,7.3,
507,American Pastoral,2016,108min,6.1,
508,The Ghost Writer,2010,128min,7.2,15.52
509,Limitless,2011,105min,7.4,79.24
510,Spectral,2016,107min,6.3,
511,P.S. I Love You,2007,126min,7.1,53.68
512,Zipper,2015,103min,5.7,
513,Midnight Special,2016,112min,6.7,3.71
514,Don't Think Twice,2016,92min,6.8,4.42
515,Alice in Wonderland,2010,108min,6.5,334.19
516,Chuck,2016,98min,6.8,0.11
517,"I, Daniel Blake",2016,100min,7.9,
518,The Break-Up,2006,106min,5.8,118.68
519,Loving,2016,123min,7.1,7.7
520,Fantastic Four,2015,100min,4.3,56.11
521,The Survivalist,2015,104min,6.3,
522,Colonia,2015,106min,7.1,
523,The Boy Next Door,2015,91min,4.6,35.39
524,The Gift,2015,108min,7.1,43.77
525,Dracula Untold,2014,92min,6.3,55.94
526,In the Heart of the Sea,2015,122min,6.9,24.99
527,Idiocracy,2006,84min,6.6,0.44
528,The Expendables,2010,103min,6.5,102.98
529,Evil Dead,2013,91min,#,54.24
530,Sinister,2012,110min,6.8,48.06
531,Wreck-It Ralph,2012,101min,7.8,189.41
532,Snow White and the Huntsman,2012,127min,6.1,155.11
533,Pan,2015,111min,5.8,34.96
534,Transformers: Dark of the Moon,2011,154min,6.3,352.36
535,Juno,2007,96min,7.5,143.49
536,A Hologram for the King,2016,98min,6.1,4.2
537,Money Monster,2016,98min,6.5,41.01
538,The Other Woman,2014,109min,6.0,83.91
539,Enchanted,2007,107min,7.1,127.71
540,The Intern,2015,121min,7.1,75.27
541,Little Miss Sunshine,2006,101min,7.8,59.89
542,Bleed for This,2016,117min,6.8,4.85
543,Clash of the Titans,2010,106min,5.8,163.19
544,The Finest Hours,2016,117min,6.8,27.55
545,Tron,2010,125min,6.8,172.05
546,The Hunger Games: Catching Fire,2013,146min,7.6,424.65
547,All Good Things,2010,101min,6.3,0.58
548,Kickboxer: Vengeance,2016,90min,4.9,131.56
549,The Last Airbender,2010,103min,4.2,
550,Sex Tape,2014,94min,5.1,38.54
551,What to Expect When You're Expecting,2012,110min,5.7,41.1
552,Moneyball,2011,133min,7.6,75.61
553,Ghost Rider,2007,114min,5.2,115.8
554,Unbroken,2014,137min,7.2,115.6
555,Immortals,2011,110min,6.0,83.5
556,Sunshine,2007,107min,7.3,3.68
557,Brave,2012,93min,#,237.28
558,Män som hatar kvinnor,2009,152min,7.8,10.1
559,Adoration,2013,112min,6.2,0.32
560,The Drop,2014,106min,7.1,10.72
561,She's the Man,2006,105min,6.4,2.34
562,Daddy's Home,2015,96min,6.1,150.32
563,Let Me In,2010,116min,7.2,12.13
564,Never Back Down,2008,110min,6.6,24.85
565,Grimsby,2016,83min,6.2,6.86
566,Moon,2009,97min,#,5.01
567,Megamind,2010,95min,7.3,148.34
568,Gangster Squad,2013,113min,6.7,46.0
569,Blood Father,2016,88min,6.4,93.95
570,He's Just Not That Into You,2009,129min,6.4,
571,Kung Fu Panda 3,2016,95min,7.2,143.52
572,The Rise of the Krays,2015,110min,5.1,6.53
573,Handsome Devil,2016,95min,7.4,
574,Winter's Bone,2010,100min,7.2,
575,Horrible Bosses,2011,98min,6.9,117.53
576,Mommy,2014,139min,8.1,3.49
577,Hellboy II: The Golden Army,2008,120min,7.0,75.75
578,Beautiful Creatures,2013,124min,6.2,19.45
579,Toni Erdmann,2016,162min,7.6,1.48
580,The Lovely Bones,2009,135min,6.7,43.98
581,The Assassination of Jesse James by the Coward Robert Ford,2007,160min,7.5,3.9
582,Don Jon,2013,90min,6.6,24.48
583,Bastille Day,2016,92min,6.3,0.04
584,2307: Winter's Dream,2016,101min,4.0,20.76
